Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
3b5c139d-68e8-4a4b-8c56-e870ba5f394c,"2020-05-01, 10:36:49 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::310595757411:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAUQUHTEVRQRRCONDAP""}]",,us-east-1,,177.148.230.39
4b1b6d12-505d-4f29-9a74-36357e1b3f28,"2020-05-01, 10:36:49 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,177.148.230.39
cc548583-a672-4e31-8043-a9f15b5caa64,"2020-05-01, 10:36:49 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,177.148.230.39
30c1ecff-1637-41a1-849a-c177d6ce9b51,"2020-05-01, 10:35:26 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,177.148.230.39
e4fb424e-f454-4000-8ec1-dac6d5ff13b7,"2020-05-01, 10:35:26 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::310595757411:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAUQUHTEVRRFXUA6EKT""}]",,us-east-1,,177.148.230.39
1753e4ad-0366-474a-af33-5657c8e3cfbc,"2020-05-01, 10:35:11 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,177.148.230.39
92245b3d-8d42-438e-b1ac-26dfdfaf4ea2,"2020-05-01, 10:35:11 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,177.148.230.39
ee45f086-1c10-4bd3-ad73-2f3753cd3950,"2020-05-01, 10:35:11 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::310595757411:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAUQUHTEVRYMORMEIWO""}]",,us-east-1,,177.148.230.39
40dcc81e-8884-4ef3-8c09-955916f2b0a4,"2020-05-01, 10:32:53 PM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,177.148.230.39
9cbf17a9-0e90-498a-bd8f-7f3b27dca28a,"2020-05-01, 10:31:56 PM",root,AcceptFxPaymentCurrencyTermsAndConditions,,,,us-east-1,,177.148.230.39
